area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-15,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-13,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-09,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-08,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-07,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-06,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-03,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-02,蔬菜,元/斤
华中,3.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.00,2.50,生姜,湖南,none,2018-08-01,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-29,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-24,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-23,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-22,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-16,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-15,蔬菜,元/斤
华中,3.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.50,生姜,湖南,none,2018-05-08,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-05-03,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-05-02,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-28,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-27,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-26,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-25,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-24,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-20,蔬菜,元/斤
华中,3.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,4.40,2.70,生姜,湖南,none,2018-04-19,蔬菜,元/斤
华中,1.65,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.50,豆角,湖南,none,2018-08-15,蔬菜,元/斤
华中,2.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.60,2.00,豆角,湖南,none,2018-08-08,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,2.00,豆角,湖南,none,2018-08-07,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,2.00,豆角,湖南,none,2018-08-06,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,2.00,豆角,湖南,none,2018-08-03,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,2.00,豆角,湖南,none,2018-08-02,蔬菜,元/斤
华中,2.42,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.85,2.00,豆角,湖南,none,2018-08-01,蔬菜,元/斤
华中,1.85,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.20,1.50,豆角,湖南,none,2018-05-29,蔬菜,元/斤
华中,1.95,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.20,1.70,豆角,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,2.00,豆角,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,2.00,豆角,湖南,none,2018-05-08,蔬菜,元/斤
华中,1.70,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.40,豆角,湖南,none,2018-05-03,蔬菜,元/斤
华中,1.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.10,1.50,豆角,湖南,none,2018-05-02,蔬菜,元/斤
华中,1.85,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.10,1.60,豆角,湖南,none,2018-04-28,蔬菜,元/斤
华中,1.85,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.10,1.60,豆角,湖南,none,2018-04-27,蔬菜,元/斤
华中,1.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.10,1.50,豆角,湖南,none,2018-04-26,蔬菜,元/斤
华中,1.90,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.30,1.50,豆角,湖南,none,2018-04-25,蔬菜,元/斤
华中,2.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.80,2.20,豆角,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.80,2.40,豆角,湖南,none,2018-04-20,蔬菜,元/斤
华中,2.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.80,2.40,豆角,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.10,2.50,豆角,湖南,none,2018-04-16,蔬菜,元/斤
华中,2.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.10,2.50,豆角,湖南,none,2018-04-13,蔬菜,元/斤
华中,3.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.30,2.90,豆角,湖南,none,2018-04-12,蔬菜,元/斤
华中,3.12,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.85,豆角,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,2.50,豆角,湖南,none,2018-03-28,蔬菜,元/斤
华中,3.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-15,蔬菜,元/斤
华中,3.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-13,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-09,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-08,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-07,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-06,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-03,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-02,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-08-01,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-29,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-24,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-23,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-22,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-16,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-15,蔬菜,元/斤
华中,3.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,3.00,大蒜,湖南,none,2018-05-08,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-05-03,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-05-02,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-28,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-27,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-26,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-25,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-24,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-20,蔬菜,元/斤
华中,3.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.90,3.60,大蒜,湖南,none,2018-04-19,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-15,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-08,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-07,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-06,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-03,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-02,蔬菜,元/斤
华中,0.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.60,0.40,冬瓜,湖南,none,2018-08-01,蔬菜,元/斤
华中,0.70,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.80,0.60,冬瓜,湖南,none,2018-05-29,蔬菜,元/斤
华中,0.70,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.80,0.60,冬瓜,湖南,none,2018-05-24,蔬菜,元/斤
华中,0.70,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,0.80,0.60,冬瓜,湖南,none,2018-05-16,蔬菜,元/斤
华中,0.95,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.80,冬瓜,湖南,none,2018-05-08,蔬菜,元/斤
华中,1.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.20,1.00,冬瓜,湖南,none,2018-05-03,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-05-02,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-28,蔬菜,元/斤
华中,1.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,1.20,冬瓜,湖南,none,2018-04-27,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-26,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-25,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-24,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-20,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-19,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-16,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-13,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-04-12,蔬菜,元/斤
华中,1.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.10,冬瓜,湖南,none,2018-04-08,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,冬瓜,湖南,none,2018-03-28,蔬菜,元/斤
华中,1.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.30,1.00,茄子,湖南,none,2018-08-15,蔬菜,元/斤
华中,1.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.30,1.20,茄子,湖南,none,2018-08-08,蔬菜,元/斤
华中,1.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.30,1.20,茄子,湖南,none,2018-08-07,蔬菜,元/斤
华中,1.37,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.55,1.20,茄子,湖南,none,2018-08-06,蔬菜,元/斤
华中,1.27,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.55,1.00,茄子,湖南,none,2018-08-03,蔬菜,元/斤
华中,1.27,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.55,1.00,茄子,湖南,none,2018-08-02,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.20,茄子,湖南,none,2018-08-01,蔬菜,元/斤
华中,1.70,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.20,1.20,茄子,湖南,none,2018-05-29,蔬菜,元/斤
华中,1.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,1.00,茄子,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,2.00,茄子,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.60,茄子,湖南,none,2018-05-08,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.80,茄子,湖南,none,2018-05-03,蔬菜,元/斤
华中,1.95,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.30,1.60,茄子,湖南,none,2018-05-02,蔬菜,元/斤
华中,1.85,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.20,1.50,茄子,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.50,茄子,湖南,none,2018-04-27,蔬菜,元/斤
华中,2.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.50,茄子,湖南,none,2018-04-26,蔬菜,元/斤
华中,1.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.80,1.20,茄子,湖南,none,2018-04-25,蔬菜,元/斤
华中,1.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,1.20,茄子,湖南,none,2018-04-24,蔬菜,元/斤
华中,1.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,1.20,茄子,湖南,none,2018-04-20,蔬菜,元/斤
华中,1.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,1.00,茄子,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.60,茄子,湖南,none,2018-04-16,蔬菜,元/斤
华中,2.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.60,茄子,湖南,none,2018-04-13,蔬菜,元/斤
华中,1.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.90,1.30,茄子,湖南,none,2018-04-12,蔬菜,元/斤
华中,1.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,1.00,茄子,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,2.00,茄子,湖南,none,2018-03-28,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.60,红椒,湖南,none,2018-08-15,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.60,红椒,湖南,none,2018-08-08,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.60,红椒,湖南,none,2018-08-07,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.60,红椒,湖南,none,2018-08-06,蔬菜,元/斤
华中,2.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.50,红椒,湖南,none,2018-08-03,蔬菜,元/斤
华中,2.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.50,红椒,湖南,none,2018-08-02,蔬菜,元/斤
华中,2.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.50,红椒,湖南,none,2018-08-01,蔬菜,元/斤
华中,2.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.20,2.00,红椒,湖南,none,2018-05-29,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,1.70,红椒,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.70,1.80,红椒,湖南,none,2018-05-16,蔬菜,元/斤
华中,2.40,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,1.80,红椒,湖南,none,2018-05-08,蔬菜,元/斤
华中,2.20,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.60,1.80,红椒,湖南,none,2018-05-03,蔬菜,元/斤
华中,2.20,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.60,1.80,红椒,湖南,none,2018-05-02,蔬菜,元/斤
华中,2.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.20,2.00,红椒,湖南,none,2018-04-28,蔬菜,元/斤
华中,2.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.20,2.00,红椒,湖南,none,2018-04-27,蔬菜,元/斤
华中,2.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,2.00,红椒,湖南,none,2018-04-26,蔬菜,元/斤
华中,2.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,2.00,红椒,湖南,none,2018-04-25,蔬菜,元/斤
华中,2.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,1.70,红椒,湖南,none,2018-04-24,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.80,1.50,红椒,湖南,none,2018-04-20,蔬菜,元/斤
华中,2.15,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.80,1.50,红椒,湖南,none,2018-04-19,蔬菜,元/斤
华中,2.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.20,2.00,红椒,湖南,none,2018-04-16,蔬菜,元/斤
华中,2.50,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.00,2.00,红椒,湖南,none,2018-04-13,蔬菜,元/斤
华中,2.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.60,1.90,红椒,湖南,none,2018-04-12,蔬菜,元/斤
华中,2.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.60,1.50,红椒,湖南,none,2018-04-08,蔬菜,元/斤
华中,2.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.60,1.90,红椒,湖南,none,2018-03-28,蔬菜,元/斤
华中,1.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.90,胡萝卜,湖南,none,2018-08-15,蔬菜,元/斤
华中,1.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.90,胡萝卜,湖南,none,2018-08-13,蔬菜,元/斤
华中,1.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.90,胡萝卜,湖南,none,2018-08-09,蔬菜,元/斤
华中,1.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.90,胡萝卜,湖南,none,2018-08-08,蔬菜,元/斤
华中,1.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.90,胡萝卜,湖南,none,2018-08-07,蔬菜,元/斤
华中,1.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.20,0.90,胡萝卜,湖南,none,2018-08-06,蔬菜,元/斤
华中,1.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.20,0.90,胡萝卜,湖南,none,2018-08-03,蔬菜,元/斤
华中,1.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.20,0.90,胡萝卜,湖南,none,2018-08-02,蔬菜,元/斤
华中,1.05,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.20,0.90,胡萝卜,湖南,none,2018-08-01,蔬菜,元/斤
华中,1.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.00,胡萝卜,湖南,none,2018-05-29,蔬菜,元/斤
华中,2.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.50,胡萝卜,湖南,none,2018-05-24,蔬菜,元/斤
华中,2.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.50,1.50,胡萝卜,湖南,none,2018-05-23,蔬菜,元/斤
华中,1.65,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.20,1.10,胡萝卜,湖南,none,2018-05-22,蔬菜,元/斤
华中,1.55,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.10,胡萝卜,湖南,none,2018-05-16,蔬菜,元/斤
华中,1.55,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.10,胡萝卜,湖南,none,2018-05-15,蔬菜,元/斤
华中,1.60,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.20,胡萝卜,湖南,none,2018-05-14,蔬菜,元/斤
华中,1.30,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,1.10,胡萝卜,湖南,none,2018-05-08,蔬菜,元/斤
华中,1.20,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.50,0.90,胡萝卜,湖南,none,2018-05-03,蔬菜,元/斤
华中,1.25,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.60,0.90,胡萝卜,湖南,none,2018-05-02,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.80,0.90,胡萝卜,湖南,none,2018-04-28,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.80,0.90,胡萝卜,湖南,none,2018-04-27,蔬菜,元/斤
华中,1.35,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.80,0.90,胡萝卜,湖南,none,2018-04-26,蔬菜,元/斤
华中,0.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.00,0.60,胡萝卜,湖南,none,2018-04-25,蔬菜,元/斤
华中,0.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.00,0.60,胡萝卜,湖南,none,2018-04-24,蔬菜,元/斤
华中,0.90,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,1.10,0.70,胡萝卜,湖南,none,2018-04-20,蔬菜,元/斤
华中,3.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,2.70,生姜,湖南,none,2017-02-08,蔬菜,元/斤
华中,3.10,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.50,2.70,生姜,湖南,none,2017-02-07,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-26,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-25,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-22,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-21,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-17,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-16,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-13,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-12,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-10,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-06,蔬菜,元/斤
华中,3.00,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,3.40,2.60,生姜,湖南,none,2017-01-04,蔬菜,元/斤
华中,1.80,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.50,莴笋,湖南,none,2018-08-15,蔬菜,元/斤
华中,1.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.50,莴笋,湖南,none,2018-08-13,蔬菜,元/斤
华中,1.75,none,2018-08-24,红星实业集团有限公司红星农副产品大市场,2.00,1.50,莴笋,湖南,none,2018-08-08,蔬菜,元/斤
