area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,2.10,none,2018-08-25,合肥周谷堆农产品批发市场,2.70,1.50,黄瓜,安徽,none,2018-08-18,蔬菜,元/斤
华东,1.90,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.50,黄瓜,安徽,none,2018-08-15,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-08-12,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-08-11,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-08-08,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-08-07,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-08-06,蔬菜,元/斤
华东,2.30,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.80,黄瓜,安徽,none,2018-08-05,蔬菜,元/斤
华东,2.30,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.80,黄瓜,安徽,none,2018-08-04,蔬菜,元/斤
华东,2.30,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.80,黄瓜,安徽,none,2018-08-03,蔬菜,元/斤
华东,2.30,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.80,黄瓜,安徽,none,2018-08-02,蔬菜,元/斤
华东,2.15,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.50,黄瓜,安徽,none,2018-08-01,蔬菜,元/斤
华东,2.15,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.50,黄瓜,安徽,none,2018-07-31,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.60,1.50,黄瓜,安徽,none,2018-07-15,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.60,1.50,黄瓜,安徽,none,2018-07-14,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,黄瓜,安徽,none,2018-07-01,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,黄瓜,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-06-10,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-06-03,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,黄瓜,安徽,none,2018-05-29,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.20,黄瓜,安徽,none,2018-05-25,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.20,黄瓜,安徽,none,2018-05-24,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.20,黄瓜,安徽,none,2018-05-20,蔬菜,元/斤
华东,1.30,none,2018-08-25,合肥周谷堆农产品批发市场,1.40,1.20,黄瓜,安徽,none,2018-05-16,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.00,黄瓜,安徽,none,2018-05-12,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.70,芹菜,安徽,none,2018-08-18,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.70,芹菜,安徽,none,2018-08-15,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.70,芹菜,安徽,none,2018-08-13,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.30,芹菜,安徽,none,2018-08-12,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.30,芹菜,安徽,none,2018-08-11,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.30,芹菜,安徽,none,2018-08-08,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.30,芹菜,安徽,none,2018-08-07,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.30,芹菜,安徽,none,2018-08-06,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.80,芹菜,安徽,none,2018-08-05,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.80,芹菜,安徽,none,2018-08-04,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.80,芹菜,安徽,none,2018-08-03,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.30,1.80,芹菜,安徽,none,2018-08-02,蔬菜,元/斤
华东,2.45,none,2018-08-25,合肥周谷堆农产品批发市场,2.60,2.30,芹菜,安徽,none,2018-08-01,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.60,2.50,芹菜,安徽,none,2018-07-31,蔬菜,元/斤
华东,2.87,none,2018-08-25,合肥周谷堆农产品批发市场,3.65,2.10,芹菜,安徽,none,2018-07-15,蔬菜,元/斤
华东,2.80,none,2018-08-25,合肥周谷堆农产品批发市场,3.60,2.00,芹菜,安徽,none,2018-07-14,蔬菜,元/斤
华东,2.10,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,1.20,芹菜,安徽,none,2018-07-07,蔬菜,元/斤
华东,2.50,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.00,芹菜,安徽,none,2018-07-01,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.00,芹菜,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.00,芹菜,安徽,none,2018-06-10,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.00,芹菜,安徽,none,2018-06-03,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.00,芹菜,安徽,none,2018-05-29,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,芹菜,安徽,none,2018-05-25,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,芹菜,安徽,none,2018-05-24,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,芹菜,安徽,none,2018-05-23,蔬菜,元/斤
华东,2.05,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.30,西红柿,安徽,none,2018-08-18,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.20,西红柿,安徽,none,2018-08-15,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.20,西红柿,安徽,none,2018-08-12,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.20,西红柿,安徽,none,2018-08-11,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.20,西红柿,安徽,none,2018-08-08,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.20,西红柿,安徽,none,2018-08-07,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.20,西红柿,安徽,none,2018-08-06,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.70,西红柿,安徽,none,2018-08-05,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.70,西红柿,安徽,none,2018-08-04,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.70,西红柿,安徽,none,2018-08-03,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.70,西红柿,安徽,none,2018-08-02,蔬菜,元/斤
华东,2.20,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.60,西红柿,安徽,none,2018-08-01,蔬菜,元/斤
华东,2.20,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,1.60,西红柿,安徽,none,2018-07-31,蔬菜,元/斤
华东,2.35,none,2018-08-25,合肥周谷堆农产品批发市场,2.70,2.00,西红柿,安徽,none,2018-07-15,蔬菜,元/斤
华东,2.40,none,2018-08-25,合肥周谷堆农产品批发市场,2.80,2.00,西红柿,安徽,none,2018-07-14,蔬菜,元/斤
华东,2.10,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,1.20,西红柿,安徽,none,2018-07-07,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,西红柿,安徽,none,2018-07-01,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,西红柿,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.50,西红柿,安徽,none,2018-06-10,蔬菜,元/斤
华东,2.50,none,2018-08-25,合肥周谷堆农产品批发市场,3.40,1.60,西红柿,安徽,none,2018-06-03,蔬菜,元/斤
华东,2.50,none,2018-08-25,合肥周谷堆农产品批发市场,3.40,1.60,西红柿,安徽,none,2018-05-29,蔬菜,元/斤
华东,2.20,none,2018-08-25,合肥周谷堆农产品批发市场,2.60,1.80,西红柿,安徽,none,2018-05-25,蔬菜,元/斤
华东,2.20,none,2018-08-25,合肥周谷堆农产品批发市场,2.60,1.80,西红柿,安徽,none,2018-05-24,蔬菜,元/斤
华东,2.20,none,2018-08-25,合肥周谷堆农产品批发市场,2.60,1.80,西红柿,安徽,none,2018-05-23,蔬菜,元/斤
华东,2.00,none,2018-08-25,合肥周谷堆农产品批发市场,2.20,1.80,西红柿,安徽,none,2018-05-20,蔬菜,元/斤
华东,1.50,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.20,土豆,安徽,none,2018-08-18,蔬菜,元/斤
华东,1.50,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.20,土豆,安徽,none,2018-08-15,蔬菜,元/斤
华东,1.50,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.20,土豆,安徽,none,2018-08-13,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-12,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-11,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-09,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-08,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-07,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-06,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-05,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-04,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-03,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.10,土豆,安徽,none,2018-08-02,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.70,土豆,安徽,none,2018-08-01,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.70,土豆,安徽,none,2018-07-31,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.70,土豆,安徽,none,2018-07-15,蔬菜,元/斤
华东,1.80,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.70,土豆,安徽,none,2018-07-14,蔬菜,元/斤
华东,2.15,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.80,土豆,安徽,none,2018-07-07,蔬菜,元/斤
华东,1.90,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.80,土豆,安徽,none,2018-07-01,蔬菜,元/斤
华东,1.90,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.80,土豆,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.15,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,1.80,土豆,安徽,none,2018-06-10,蔬菜,元/斤
华东,1.40,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.00,土豆,安徽,none,2018-06-03,蔬菜,元/斤
华东,1.40,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.00,土豆,安徽,none,2018-05-29,蔬菜,元/斤
华东,1.40,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.00,土豆,安徽,none,2018-05-25,蔬菜,元/斤
华东,1.40,none,2018-08-25,合肥周谷堆农产品批发市场,1.80,1.00,土豆,安徽,none,2018-05-24,蔬菜,元/斤
华东,1.25,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.00,大白菜,安徽,none,2018-08-18,蔬菜,元/斤
华东,1.25,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.00,大白菜,安徽,none,2018-08-17,蔬菜,元/斤
华东,1.25,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.00,大白菜,安徽,none,2018-08-16,蔬菜,元/斤
华东,1.25,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.00,大白菜,安徽,none,2018-08-15,蔬菜,元/斤
华东,1.25,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.00,大白菜,安徽,none,2018-08-13,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-12,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-11,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-10,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-09,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-08,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-07,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.10,大白菜,安徽,none,2018-08-06,蔬菜,元/斤
华东,1.27,none,2018-08-25,合肥周谷堆农产品批发市场,1.45,1.10,大白菜,安徽,none,2018-08-05,蔬菜,元/斤
华东,1.27,none,2018-08-25,合肥周谷堆农产品批发市场,1.45,1.10,大白菜,安徽,none,2018-08-04,蔬菜,元/斤
华东,1.27,none,2018-08-25,合肥周谷堆农产品批发市场,1.45,1.10,大白菜,安徽,none,2018-08-03,蔬菜,元/斤
华东,1.27,none,2018-08-25,合肥周谷堆农产品批发市场,1.45,1.10,大白菜,安徽,none,2018-08-02,蔬菜,元/斤
华东,1.15,none,2018-08-25,合肥周谷堆农产品批发市场,1.30,1.00,大白菜,安徽,none,2018-08-01,蔬菜,元/斤
华东,1.15,none,2018-08-25,合肥周谷堆农产品批发市场,1.30,1.00,大白菜,安徽,none,2018-07-31,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.30,大白菜,安徽,none,2018-07-15,蔬菜,元/斤
华东,1.45,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.30,大白菜,安徽,none,2018-07-14,蔬菜,元/斤
华东,1.00,none,2018-08-25,合肥周谷堆农产品批发市场,1.20,0.80,大白菜,安徽,none,2018-07-07,蔬菜,元/斤
华东,1.50,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.40,大白菜,安徽,none,2018-07-01,蔬菜,元/斤
华东,1.50,none,2018-08-25,合肥周谷堆农产品批发市场,1.60,1.40,大白菜,安徽,none,2018-06-23,蔬菜,元/斤
华东,1.25,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.00,大白菜,安徽,none,2018-06-10,蔬菜,元/斤
华东,1.35,none,2018-08-25,合肥周谷堆农产品批发市场,1.50,1.20,大白菜,安徽,none,2018-06-03,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-18,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-15,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-12,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-11,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-08,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-07,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-06,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-05,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-04,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-03,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-02,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-08-01,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-07-31,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-07-15,蔬菜,元/斤
华东,3.55,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.10,西兰花,安徽,none,2018-07-14,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.60,2.70,西兰花,安徽,none,2018-07-07,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.60,2.70,西兰花,安徽,none,2018-07-01,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.60,2.70,西兰花,安徽,none,2018-06-23,蔬菜,元/斤
华东,3.75,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.50,西兰花,安徽,none,2018-06-10,蔬菜,元/斤
华东,3.70,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.40,西兰花,安徽,none,2018-06-03,蔬菜,元/斤
华东,3.70,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.40,西兰花,安徽,none,2018-05-29,蔬菜,元/斤
华东,3.70,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,3.40,西兰花,安徽,none,2018-05-25,蔬菜,元/斤
华东,4.15,none,2018-08-25,合肥周谷堆农产品批发市场,4.40,3.90,西兰花,安徽,none,2018-05-24,蔬菜,元/斤
华东,4.15,none,2018-08-25,合肥周谷堆农产品批发市场,4.40,3.90,西兰花,安徽,none,2018-05-23,蔬菜,元/斤
华东,4.15,none,2018-08-25,合肥周谷堆农产品批发市场,4.40,3.90,西兰花,安徽,none,2018-05-20,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-18,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-15,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-13,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-12,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-11,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-08,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-07,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-06,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-05,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-04,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-03,蔬菜,元/斤
华东,2.75,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,2.50,莲藕,安徽,none,2018-08-02,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.80,莲藕,安徽,none,2018-08-01,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.80,莲藕,安徽,none,2018-07-31,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.80,莲藕,安徽,none,2018-07-15,蔬菜,元/斤
华东,3.15,none,2018-08-25,合肥周谷堆农产品批发市场,3.50,2.80,莲藕,安徽,none,2018-07-14,蔬菜,元/斤
华东,2.90,none,2018-08-25,合肥周谷堆农产品批发市场,4.00,1.80,莲藕,安徽,none,2018-07-07,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,1.50,莲藕,安徽,none,2018-07-01,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,3.00,1.50,莲藕,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.25,none,2018-08-25,合肥周谷堆农产品批发市场,2.50,2.00,莲藕,安徽,none,2018-06-10,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,莲藕,安徽,none,2018-06-03,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,莲藕,安徽,none,2018-05-29,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,莲藕,安徽,none,2018-05-25,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,莲藕,安徽,none,2018-05-24,蔬菜,元/斤
华东,1.75,none,2018-08-25,合肥周谷堆农产品批发市场,2.00,1.50,莲藕,安徽,none,2018-05-23,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-18,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-15,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-12,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-11,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-08,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-07,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-06,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-05,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-04,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-03,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,5.00,香菇,安徽,none,2018-08-02,蔬菜,元/斤
华东,8.75,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,8.50,香菇,安徽,none,2018-08-01,蔬菜,元/斤
华东,8.75,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,8.50,香菇,安徽,none,2018-07-31,蔬菜,元/斤
华东,8.75,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,8.50,香菇,安徽,none,2018-07-15,蔬菜,元/斤
华东,8.75,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,8.50,香菇,安徽,none,2018-07-14,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-06-23,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-06-10,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-06-03,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-05-29,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-05-25,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-05-24,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-05-20,蔬菜,元/斤
华东,7.00,none,2018-08-25,合肥周谷堆农产品批发市场,8.00,6.00,香菇,安徽,none,2018-05-16,蔬菜,元/斤
华东,8.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,7.00,香菇,安徽,none,2018-05-12,蔬菜,元/斤
华东,8.00,none,2018-08-25,合肥周谷堆农产品批发市场,9.00,7.00,香菇,安徽,none,2018-05-08,蔬菜,元/斤
华东,1.20,none,2018-08-25,合肥周谷堆农产品批发市场,1.30,1.10,南瓜,安徽,none,2018-08-18,蔬菜,元/斤
华东,1.20,none,2018-08-25,合肥周谷堆农产品批发市场,1.40,1.00,南瓜,安徽,none,2018-08-15,蔬菜,元/斤
