area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.20,none,2018-08-25,北京新发地批发市场,1.60,0.80,西红柿,北京,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,1.80,1.20,西红柿,北京,none,2018-08-15,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.40,0.70,西红柿,北京,none,2018-08-08,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.40,0.70,西红柿,北京,none,2018-08-07,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.40,0.70,西红柿,北京,none,2018-08-06,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.40,0.70,西红柿,北京,none,2018-08-05,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.40,0.70,西红柿,北京,none,2018-08-04,蔬菜,元/斤
华北,1.05,none,2018-08-25,北京新发地批发市场,1.40,0.70,西红柿,北京,none,2018-08-03,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京新发地批发市场,1.50,0.70,西红柿,北京,none,2018-08-02,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京新发地批发市场,1.50,0.70,西红柿,北京,none,2018-08-01,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京新发地批发市场,1.50,0.70,西红柿,北京,none,2018-07-31,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京新发地批发市场,2.20,1.20,西红柿,北京,none,2018-07-15,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京新发地批发市场,2.20,1.20,西红柿,北京,none,2018-07-14,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,2.00,1.00,西红柿,北京,none,2018-07-07,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京新发地批发市场,2.00,0.80,西红柿,北京,none,2018-07-01,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京新发地批发市场,1.50,0.70,西红柿,北京,none,2018-06-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京新发地批发市场,1.70,0.70,西红柿,北京,none,2018-06-10,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京新发地批发市场,1.80,0.80,西红柿,北京,none,2018-06-03,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京新发地批发市场,2.00,0.80,西红柿,北京,none,2018-05-29,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京新发地批发市场,2.20,1.00,西红柿,北京,none,2018-05-25,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京新发地批发市场,2.20,1.00,西红柿,北京,none,2018-05-24,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京新发地批发市场,2.20,1.00,西红柿,北京,none,2018-05-23,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京新发地批发市场,2.00,1.00,西红柿,北京,none,2018-05-20,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京新发地批发市场,2.20,1.00,西红柿,北京,none,2018-05-16,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京新发地批发市场,2.20,1.00,西红柿,北京,none,2018-05-08,蔬菜,元/斤
华北,0.85,none,2018-08-25,北京新发地批发市场,1.20,0.50,土豆,北京,none,2018-08-18,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京新发地批发市场,1.30,0.70,土豆,北京,none,2018-08-15,蔬菜,元/斤
华北,0.85,none,2018-08-25,北京新发地批发市场,1.20,0.50,土豆,北京,none,2018-08-09,蔬菜,元/斤
华北,0.85,none,2018-08-25,北京新发地批发市场,1.20,0.50,土豆,北京,none,2018-08-08,蔬菜,元/斤
华北,0.85,none,2018-08-25,北京新发地批发市场,1.20,0.50,土豆,北京,none,2018-08-07,蔬菜,元/斤
