area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.55,大白菜,河南,none,2017-05-09,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.60,大白菜,河南,none,2017-05-08,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.55,大白菜,河南,none,2017-05-07,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-18,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-17,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-16,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,大白菜,河南,none,2018-08-15,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-13,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-12,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-11,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-09,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-08,蔬菜,元/斤
华中,0.65,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-08-07,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.60,大白菜,河南,none,2018-08-06,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.55,大白菜,河南,none,2018-08-05,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-04,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-03,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-02,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,大白菜,河南,none,2018-08-01,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.90,0.50,大白菜,河南,none,2018-07-31,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-07-15,蔬菜,元/斤
华中,0.70,none,2018-08-25,河南商丘市农产品中心批发市场,0.85,0.50,大白菜,河南,none,2018-07-14,蔬菜,元/斤
华中,0.85,none,2018-08-25,河南商丘市农产品中心批发市场,1.05,0.70,大白菜,河南,none,2018-07-07,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.10,0.75,大白菜,河南,none,2018-07-01,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,大白菜,河南,none,2018-06-23,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,大白菜,河南,none,2018-06-10,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,大白菜,河南,none,2018-06-03,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,大白菜,河南,none,2018-05-31,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,土豆,河南,none,2017-04-25,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,土豆,河南,none,2017-04-23,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-04-20,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.90,土豆,河南,none,2017-04-18,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-04-17,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-04-16,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.90,土豆,河南,none,2017-04-14,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.90,土豆,河南,none,2017-04-13,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,土豆,河南,none,2017-04-12,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-04-11,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-04-10,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-04-08,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-04-06,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-04-05,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-04-03,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-04-02,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-03-31,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-03-30,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,土豆,河南,none,2017-03-29,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2017-03-28,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-03-23,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-03-22,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2017-03-21,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.05,土豆,河南,none,2017-03-20,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.10,土豆,河南,none,2017-03-17,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-18,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-15,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-13,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-12,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-11,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-09,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-08,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.85,土豆,河南,none,2018-08-07,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2018-08-06,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2018-08-05,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-08-04,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-08-03,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-08-02,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,土豆,河南,none,2018-08-01,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,土豆,河南,none,2018-07-31,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,土豆,河南,none,2018-07-15,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,土豆,河南,none,2018-07-14,蔬菜,元/斤
华中,0.75,none,2018-08-25,河南商丘市农产品中心批发市场,0.95,0.60,土豆,河南,none,2018-07-07,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,土豆,河南,none,2018-07-01,蔬菜,元/斤
华中,0.95,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,土豆,河南,none,2018-06-23,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,土豆,河南,none,2018-06-10,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2018-06-03,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.35,1.00,土豆,河南,none,2018-05-29,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,土豆,河南,none,2018-05-25,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,土豆,河南,none,2018-05-24,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-08-18,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-08-15,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-12,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-11,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-08,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.45,1.10,西红柿,河南,none,2018-08-07,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.90,西红柿,河南,none,2018-08-06,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,西红柿,河南,none,2018-08-05,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,西红柿,河南,none,2018-08-04,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,0.95,西红柿,河南,none,2018-08-03,蔬菜,元/斤
华中,1.10,none,2018-08-25,河南商丘市农产品中心批发市场,1.25,0.90,西红柿,河南,none,2018-08-02,蔬菜,元/斤
华中,1.30,none,2018-08-25,河南商丘市农产品中心批发市场,1.50,1.10,西红柿,河南,none,2018-08-01,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,西红柿,河南,none,2018-07-31,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.10,西红柿,河南,none,2018-07-15,蔬菜,元/斤
华中,1.25,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.10,西红柿,河南,none,2018-07-14,蔬菜,元/斤
华中,1.20,none,2018-08-25,河南商丘市农产品中心批发市场,1.40,1.00,西红柿,河南,none,2018-07-07,蔬菜,元/斤
华中,0.90,none,2018-08-25,河南商丘市农产品中心批发市场,1.10,0.75,西红柿,河南,none,2018-07-01,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.15,0.80,西红柿,河南,none,2018-06-23,蔬菜,元/斤
华中,0.80,none,2018-08-25,河南商丘市农产品中心批发市场,1.00,0.65,西红柿,河南,none,2018-06-10,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-06-03,蔬菜,元/斤
华中,1.00,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.85,西红柿,河南,none,2018-05-29,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-25,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-24,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-23,蔬菜,元/斤
华中,1.15,none,2018-08-25,河南商丘市农产品中心批发市场,1.30,1.00,西红柿,河南,none,2018-05-20,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-18,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-15,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-13,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-12,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-11,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-08,蔬菜,元/斤
华中,1.05,none,2018-08-25,河南商丘市农产品中心批发市场,1.20,0.90,芹菜,河南,none,2018-08-07,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,芹菜,河南,none,2018-08-06,蔬菜,元/斤
华中,1.50,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.35,芹菜,河南,none,2018-08-05,蔬菜,元/斤
华中,1.55,none,2018-08-25,河南商丘市农产品中心批发市场,1.70,1.40,芹菜,河南,none,2018-08-04,蔬菜,元/斤
