area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,1.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-05-03,蔬菜,元/斤
西南,1.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-05-02,蔬菜,元/斤
西南,1.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-28,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-27,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-26,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-25,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-24,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-20,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-19,蔬菜,元/斤
西南,1.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,冬瓜,四川,none,2018-04-16,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-15,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-08,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-07,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-06,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-03,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-02,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-08-01,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-07-31,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-06-23,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-29,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-25,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-24,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-16,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-08,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-06,蔬菜,元/斤
西南,2.10,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-03,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-05-02,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-28,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-27,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-26,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-25,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-24,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-20,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-19,蔬菜,元/斤
西南,2.15,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,茄子,四川,none,2018-04-16,蔬菜,元/斤
西南,0.80,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,白萝卜,四川,none,2018-08-15,蔬菜,元/斤
西南,0.80,none,2018-08-24,汉源县川九襄农贸市场,0.00,0.00,白萝卜,四川,none,2018-08-13,蔬菜,元/斤
