area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,2.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-03-08,蔬菜,元/斤
华东,2.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-28,蔬菜,元/斤
华东,2.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-26,蔬菜,元/斤
华东,2.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-25,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-10,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-08,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-05,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-02-04,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-01-28,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-01-27,蔬菜,元/斤
华东,1.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,胡萝卜,安徽,none,2018-01-23,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-08-12,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-08-03,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-08-02,蔬菜,元/斤
华东,2.30,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-06-03,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-05-20,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-04-28,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-04-16,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-04-12,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-03-11,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-03-08,蔬菜,元/斤
华东,3.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-02-28,蔬菜,元/斤
华东,3.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-02-25,蔬菜,元/斤
华东,3.30,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-02-10,蔬菜,元/斤
华东,3.30,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-02-08,蔬菜,元/斤
华东,3.30,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-02-05,蔬菜,元/斤
华东,3.25,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-02-04,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-01-28,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-01-27,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-01-20,蔬菜,元/斤
华东,3.00,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-01-15,蔬菜,元/斤
华东,2.60,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2018-01-01,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2017-12-12,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2017-12-09,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,长茄子,安徽,none,2017-12-04,蔬菜,元/斤
华东,1.90,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2018-08-12,蔬菜,元/斤
华东,1.90,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2018-08-03,蔬菜,元/斤
华东,1.90,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2018-08-02,蔬菜,元/斤
华东,1.80,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2018-06-23,蔬菜,元/斤
华东,2.50,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2018-06-03,蔬菜,元/斤
华东,2.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2017-12-12,蔬菜,元/斤
华东,2.70,none,2018-08-26,安徽舒城蔬菜批发市场,0.00,0.00,苋菜,安徽,none,2017-12-09,蔬菜,元/斤
