area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-18,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-15,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-13,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-12,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-11,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-08,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-07,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-06,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-05,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-04,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-03,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-02,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-08-01,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,土豆,北京,none,2018-07-31,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,土豆,北京,none,2018-07-15,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,土豆,北京,none,2018-07-14,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,土豆,北京,none,2018-07-07,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.00,土豆,北京,none,2018-07-01,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.00,土豆,北京,none,2018-06-23,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.00,土豆,北京,none,2018-06-10,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京顺鑫石门农产品批发市场,1.00,0.80,土豆,北京,none,2018-06-03,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,土豆,北京,none,2018-05-29,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,土豆,北京,none,2018-05-25,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,土豆,北京,none,2018-05-24,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,土豆,北京,none,2018-05-23,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,大白菜,北京,none,2018-08-18,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,大白菜,北京,none,2018-08-17,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,大白菜,北京,none,2018-08-16,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,大白菜,北京,none,2018-08-15,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,大白菜,北京,none,2018-08-13,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京顺鑫石门农产品批发市场,0.70,0.50,大白菜,北京,none,2018-08-12,蔬菜,元/斤
华北,0.60,none,2018-08-25,北京顺鑫石门农产品批发市场,0.70,0.50,大白菜,北京,none,2018-08-11,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京顺鑫石门农产品批发市场,0.60,0.40,大白菜,北京,none,2018-08-08,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京顺鑫石门农产品批发市场,0.60,0.40,大白菜,北京,none,2018-08-07,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京顺鑫石门农产品批发市场,0.55,0.45,大白菜,北京,none,2018-08-06,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京顺鑫石门农产品批发市场,0.55,0.45,大白菜,北京,none,2018-08-05,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京顺鑫石门农产品批发市场,0.55,0.45,大白菜,北京,none,2018-08-04,蔬菜,元/斤
华北,0.50,none,2018-08-25,北京顺鑫石门农产品批发市场,0.55,0.45,大白菜,北京,none,2018-08-03,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京顺鑫石门农产品批发市场,0.50,0.40,大白菜,北京,none,2018-08-02,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京顺鑫石门农产品批发市场,0.50,0.40,大白菜,北京,none,2018-08-01,蔬菜,元/斤
华北,0.45,none,2018-08-25,北京顺鑫石门农产品批发市场,0.50,0.40,大白菜,北京,none,2018-07-31,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京顺鑫石门农产品批发市场,0.80,0.60,大白菜,北京,none,2018-07-15,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京顺鑫石门农产品批发市场,0.80,0.60,大白菜,北京,none,2018-07-14,蔬菜,元/斤
华北,0.70,none,2018-08-25,北京顺鑫石门农产品批发市场,0.80,0.60,大白菜,北京,none,2018-07-07,蔬菜,元/斤
华北,0.65,none,2018-08-25,北京顺鑫石门农产品批发市场,0.70,0.60,大白菜,北京,none,2018-07-01,蔬菜,元/斤
华北,0.90,none,2018-08-25,北京顺鑫石门农产品批发市场,1.00,0.80,大白菜,北京,none,2018-06-23,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.10,0.90,大白菜,北京,none,2018-06-10,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,1.10,大白菜,北京,none,2018-06-03,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,1.10,大白菜,北京,none,2018-05-31,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.20,1.00,大白菜,北京,none,2018-05-29,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,韭菜,北京,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.75,1.25,韭菜,北京,none,2018-08-15,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.75,1.25,韭菜,北京,none,2018-08-13,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,韭菜,北京,none,2018-08-12,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,韭菜,北京,none,2018-08-11,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,韭菜,北京,none,2018-08-08,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,韭菜,北京,none,2018-08-07,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.50,韭菜,北京,none,2018-08-06,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.50,韭菜,北京,none,2018-08-05,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.50,韭菜,北京,none,2018-08-04,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.50,韭菜,北京,none,2018-08-03,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.00,韭菜,北京,none,2018-08-02,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.00,韭菜,北京,none,2018-08-01,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.00,韭菜,北京,none,2018-07-31,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.20,韭菜,北京,none,2018-07-15,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.20,韭菜,北京,none,2018-07-14,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.20,韭菜,北京,none,2018-07-07,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,韭菜,北京,none,2018-07-01,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.20,0.80,韭菜,北京,none,2018-06-23,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.20,韭菜,北京,none,2018-06-10,蔬菜,元/斤
华北,0.80,none,2018-08-25,北京顺鑫石门农产品批发市场,0.90,0.70,韭菜,北京,none,2018-06-03,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.10,0.90,韭菜,北京,none,2018-05-29,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.25,0.95,韭菜,北京,none,2018-05-25,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.25,0.95,韭菜,北京,none,2018-05-24,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.25,0.95,韭菜,北京,none,2018-05-23,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.70,1.30,青椒,北京,none,2018-08-18,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.70,1.30,青椒,北京,none,2018-08-15,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.10,0.90,青椒,北京,none,2018-08-12,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.10,0.90,青椒,北京,none,2018-08-11,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-08,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-07,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-06,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-05,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-04,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-03,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-02,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-08-01,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-07-31,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-07-15,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-07-14,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.20,1.00,青椒,北京,none,2018-07-07,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,青椒,北京,none,2018-07-01,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京顺鑫石门农产品批发市场,1.70,1.40,青椒,北京,none,2018-06-23,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,1.95,1.65,青椒,北京,none,2018-06-10,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,1.95,1.45,青椒,北京,none,2018-06-03,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.65,1.35,青椒,北京,none,2018-05-29,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.55,1.25,青椒,北京,none,2018-05-25,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.55,1.25,青椒,北京,none,2018-05-24,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,1.95,1.45,青椒,北京,none,2018-05-20,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,1.95,1.45,青椒,北京,none,2018-05-16,蔬菜,元/斤
华北,2.30,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,2.10,黄瓜,北京,none,2018-08-18,蔬菜,元/斤
华北,2.20,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,1.40,黄瓜,北京,none,2018-08-15,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,黄瓜,北京,none,2018-08-12,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,黄瓜,北京,none,2018-08-11,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,黄瓜,北京,none,2018-08-08,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,黄瓜,北京,none,2018-08-07,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,2.20,1.20,黄瓜,北京,none,2018-08-06,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,2.20,1.20,黄瓜,北京,none,2018-08-05,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,2.20,1.20,黄瓜,北京,none,2018-08-04,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,2.20,1.20,黄瓜,北京,none,2018-08-03,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,黄瓜,北京,none,2018-08-02,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,黄瓜,北京,none,2018-08-01,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,黄瓜,北京,none,2018-07-31,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.60,黄瓜,北京,none,2018-07-15,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.60,黄瓜,北京,none,2018-07-14,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.00,0.80,黄瓜,北京,none,2018-06-23,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,黄瓜,北京,none,2018-06-10,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京顺鑫石门农产品批发市场,1.80,1.40,黄瓜,北京,none,2018-06-03,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,2.00,1.40,黄瓜,北京,none,2018-05-29,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,黄瓜,北京,none,2018-05-25,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,黄瓜,北京,none,2018-05-24,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,黄瓜,北京,none,2018-05-20,蔬菜,元/斤
华北,1.10,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,0.90,黄瓜,北京,none,2018-05-16,蔬菜,元/斤
华北,1.15,none,2018-08-25,北京顺鑫石门农产品批发市场,1.30,1.00,黄瓜,北京,none,2018-05-08,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.20,黄瓜,北京,none,2018-05-06,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.20,芹菜,北京,none,2018-08-18,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.10,0.90,芹菜,北京,none,2018-08-15,蔬菜,元/斤
华北,1.00,none,2018-08-25,北京顺鑫石门农产品批发市场,1.10,0.90,芹菜,北京,none,2018-08-13,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.10,芹菜,北京,none,2018-08-12,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.10,芹菜,北京,none,2018-08-11,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.10,芹菜,北京,none,2018-08-08,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.10,芹菜,北京,none,2018-08-07,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-08-06,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-08-05,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-08-04,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-08-03,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-08-02,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-08-01,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.50,1.30,芹菜,北京,none,2018-07-31,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.75,1.25,芹菜,北京,none,2018-07-15,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.75,1.25,芹菜,北京,none,2018-07-14,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.75,1.25,芹菜,北京,none,2018-07-07,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,芹菜,北京,none,2018-07-01,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.20,芹菜,北京,none,2018-06-23,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.25,1.75,芹菜,北京,none,2018-06-10,蔬菜,元/斤
华北,2.55,none,2018-08-25,北京顺鑫石门农产品批发市场,2.90,2.20,芹菜,北京,none,2018-06-03,蔬菜,元/斤
华北,2.90,none,2018-08-25,北京顺鑫石门农产品批发市场,3.10,2.60,芹菜,北京,none,2018-05-29,蔬菜,元/斤
华北,2.40,none,2018-08-25,北京顺鑫石门农产品批发市场,2.60,2.20,芹菜,北京,none,2018-05-25,蔬菜,元/斤
华北,2.40,none,2018-08-25,北京顺鑫石门农产品批发市场,2.60,2.20,芹菜,北京,none,2018-05-24,蔬菜,元/斤
华北,2.40,none,2018-08-25,北京顺鑫石门农产品批发市场,2.60,2.20,芹菜,北京,none,2018-05-23,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.70,1.30,西红柿,北京,none,2018-08-18,蔬菜,元/斤
华北,1.30,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.20,西红柿,北京,none,2018-08-15,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京顺鑫石门农产品批发市场,1.90,1.30,西红柿,北京,none,2018-08-12,蔬菜,元/斤
华北,1.60,none,2018-08-25,北京顺鑫石门农产品批发市场,1.90,1.30,西红柿,北京,none,2018-08-11,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,西红柿,北京,none,2018-08-08,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,西红柿,北京,none,2018-08-07,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,西红柿,北京,none,2018-08-06,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,西红柿,北京,none,2018-08-05,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,西红柿,北京,none,2018-08-04,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.30,西红柿,北京,none,2018-08-03,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,西红柿,北京,none,2018-08-02,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,西红柿,北京,none,2018-08-01,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.50,西红柿,北京,none,2018-07-31,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.40,1.60,西红柿,北京,none,2018-07-15,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.40,1.60,西红柿,北京,none,2018-07-14,蔬菜,元/斤
华北,2.30,none,2018-08-25,北京顺鑫石门农产品批发市场,2.80,1.80,西红柿,北京,none,2018-07-07,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,2.05,1.35,西红柿,北京,none,2018-07-01,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.70,1.30,西红柿,北京,none,2018-06-23,蔬菜,元/斤
华北,1.70,none,2018-08-25,北京顺鑫石门农产品批发市场,1.90,1.50,西红柿,北京,none,2018-06-10,蔬菜,元/斤
华北,2.20,none,2018-08-25,北京顺鑫石门农产品批发市场,2.50,1.90,西红柿,北京,none,2018-06-03,蔬菜,元/斤
华北,2.20,none,2018-08-25,北京顺鑫石门农产品批发市场,2.55,1.85,西红柿,北京,none,2018-05-29,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.70,西红柿,北京,none,2018-05-25,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.70,西红柿,北京,none,2018-05-24,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.30,1.70,西红柿,北京,none,2018-05-23,蔬菜,元/斤
华北,2.60,none,2018-08-25,北京顺鑫石门农产品批发市场,3.10,2.10,西红柿,北京,none,2018-05-20,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.50,1.50,菠菜,北京,none,2018-08-18,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,菠菜,北京,none,2018-08-15,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,菠菜,北京,none,2018-08-13,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,菠菜,北京,none,2018-08-12,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.00,2.00,菠菜,北京,none,2018-08-11,蔬菜,元/斤
华北,3.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.75,3.25,菠菜,北京,none,2018-08-08,蔬菜,元/斤
华北,3.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.75,3.25,菠菜,北京,none,2018-08-07,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-08-06,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-08-05,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-08-04,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-08-03,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-08-02,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-08-01,蔬菜,元/斤
华北,4.40,none,2018-08-25,北京顺鑫石门农产品批发市场,5.80,3.00,菠菜,北京,none,2018-07-31,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.20,菠菜,北京,none,2018-07-15,蔬菜,元/斤
华北,1.40,none,2018-08-25,北京顺鑫石门农产品批发市场,1.60,1.20,菠菜,北京,none,2018-07-14,蔬菜,元/斤
华北,3.00,none,2018-08-25,北京顺鑫石门农产品批发市场,3.50,2.50,菠菜,北京,none,2018-07-07,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.20,1.80,菠菜,北京,none,2018-07-01,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.25,1.75,菠菜,北京,none,2018-06-23,蔬菜,元/斤
华北,1.50,none,2018-08-25,北京顺鑫石门农产品批发市场,1.75,1.25,菠菜,北京,none,2018-06-10,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.10,1.50,菠菜,北京,none,2018-06-03,蔬菜,元/斤
华北,1.80,none,2018-08-25,北京顺鑫石门农产品批发市场,2.20,1.40,菠菜,北京,none,2018-05-31,蔬菜,元/斤
华北,2.00,none,2018-08-25,北京顺鑫石门农产品批发市场,2.10,1.90,菠菜,北京,none,2018-05-29,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,菠菜,北京,none,2018-05-25,蔬菜,元/斤
华北,1.20,none,2018-08-25,北京顺鑫石门农产品批发市场,1.40,1.00,菠菜,北京,none,2018-05-24,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.50,1.50,生菜,北京,none,2018-08-18,蔬菜,元/斤
华北,2.50,none,2018-08-25,北京顺鑫石门农产品批发市场,3.50,1.50,生菜,北京,none,2018-08-17,蔬菜,元/斤
